title,year,creator,tags,summary,url,thumbnail
Rituals ( 1977) upgrade,,,stalker | horror | Hal Holbrook | serial killer,"Also known as ""The Creeper."" This higher-quality version includes all of the opening credits, and has a runtime of about 1:36. The other copy in the Archive run around 1:29. Just for fun, i have included an image of an advertisement for…",https://archive.org/details/Rituals1977,https://archive.org/services/img/Rituals1977
Quicksand,1950,Samuel H. Stiefel Productions,Crime | Drama | Film-Noir | Mystery | Romance,"Title: Quicksand Summary: After taking 20 dollars from his employer to go on a date with plans to repay it the next day, an auto mechanic falls into increasingly disastrous circumstances for more and more money which rapidly spirals out of…",https://archive.org/details/Quicksand720p1950,https://archive.org/services/img/Quicksand720p1950
BeyondTheTimeBarrier,,,sf,sf,https://archive.org/details/BeyondTheTimeBarrier,https://archive.org/services/img/BeyondTheTimeBarrier
"Caltiki, the Immortal Monster",1959,Galatea Film,Adventure | Horror | Sci-Fi | Thriller,"Title: Caltiki, the Immortal Monster Summary: Archaeologists investigating some Mayan ruins come across a blob-like monster. They manage to destroy it with fire, but keep a sample. Meanwhile, a comet is due to pass close to the Earth -...…",https://archive.org/details/CALTIKITheImmortalMonster1960,https://archive.org/services/img/CALTIKITheImmortalMonster1960
Sweet Home ( The Mamiya House) [1988],1988,Kiyoshi Kurosawa,Horror | J-Horror | Supernatural | English Sub | 80s,"Sweet Home (Japanese: スウィートホーム - Hepburn: Suwīto hōmu) also known as ""The Mamiya House"" is a 1988 Japanese horror film directed by Kiyoshi Kurosawa and produced by Juzo Itami. It was released alongside a video game of the same title that…",https://archive.org/details/sweet-home-the-mamiya-house-1988,https://archive.org/services/img/sweet-home-the-mamiya-house-1988
Ghost Walks - Weirdness Bad Movie,,reallybadmovie@rocketmail.com,Mystery | Sci-fi | Horror | ghost | comedy | public domain | classic TV | weirdness,"Public Access TV show ""Weirdness Really Bad Movie"" hosts public domain movies and ads clean comedy sketches enjoyable for the whole family. Today's film is 1934 film ""The Ghost Walks""",https://archive.org/details/GhostWalks-WeirdnessBadMovie,https://archive.org/services/img/GhostWalks-WeirdnessBadMovie
Blind Rage(1976),1976,Efren C. Piñon,Fred Williamson | Tony Ferrer | Leila Hermosa | Dick Adair | Chuck Doherty | Subas Herrero | Leo Fong | D'Urville Martin,THIS IS A CO-PRODUCTION BETWEEN THE USA AND THE PHILIPPINES The Americans are planning to send five million dollars to Southeast Asia for relief work. They plan to send it to a bank in Manila and the President of the bank goes to the U.S.…,https://archive.org/details/blind.-rage.-1976.1080p.-blu-ray.x-264.-aac-yts.-mx,https://archive.org/services/img/blind.-rage.-1976.1080p.-blu-ray.x-264.-aac-yts.-mx
BOOTLEGGER'S DRIVE-IN SATURDAY NIGHT: THE BEAST FROM HAUNTED CAVE & A BUCKET OF BLOOD,,,horror | Corman | drive-in | feature films,"A COMPLETE DVD. Features custom menu with poster art or still photo overlayed with a drive-in style audio. Burning is real easy. Just download the zipped folder, open it and extract the VIDEO TS folder. Now you grab a blank disc and burn,…",https://archive.org/details/BEASTHAUNTEDCAVEBUCKETBLOOD,https://archive.org/services/img/BEASTHAUNTEDCAVEBUCKETBLOOD
The_Green_Hornet_-_Chapter_10_-_Bullets_And_Ballots,,,Green Hornet | Kato | Gordon Jones | Keye Luke | movie | film | serial | action,"""Britt Reid,"" the millionaire publisher, dons a mask and goes out to fight crime in his famous automobile, ""The Black Beauty."" ""Kato,"" the Korean science wizard, whom ""Britt"" saved from attackers years ago, has now pledged his life to…",https://archive.org/details/The_Green_Hornet_-_Chapter_10_-_Bullets_And_Ballots,https://archive.org/services/img/The_Green_Hornet_-_Chapter_10_-_Bullets_And_Ballots
Kiss Me Deadly (1955),,,Filme Completo | Legendado,"A MORTE NUM BEIJO ( Kiss Me Deadly , USA - 1955 ) ( Filme Completo / Legendado em Português ) Data de Lançamento: 18 de Maio de 1955 » SOBRE O FILME: O detetive particular Mike Hammer passeia pela estrada à noite quando uma loira, vestindo…",https://archive.org/details/kiss-me-deadly-1955,https://archive.org/services/img/kiss-me-deadly-1955
"The Killer That Stalked New York (1950, USA) Evelyn Keyes - Film Noir Full Movie",1950,,Earl McAvoy | Evelyn Keyes | Dorothy Malone | 1950s | Film Noir Full Movies | Film Noir | Drama | Crime,"The Killer That Stalked New York (also known as Frightened City) is a 1950 film noir starring Evelyn Keyes, Charles Korvin, Dorothy Malone. The film, shot on location and in a semi-documentary style, is about diamond smugglers who…",https://archive.org/details/thekillerthatstalkednewyork1950,https://archive.org/services/img/thekillerthatstalkednewyork1950
The Painted Desert (1931),,,William Boyd | Helen Twelvetrees | William Farnum | J. Farrell MacDonald | Clark Gable | Charles Sellon | Hugh Adams | Will Walling,Jeff and Cash find a baby boy and fight over who will be the father. They are still fighting years when Bill is grown. Bill wants to end the feud and has an interest in Jeff's daughter. Mystic Nights Videos,https://archive.org/details/ThePaintedDesert1931,https://archive.org/services/img/ThePaintedDesert1931
Caravan,,Harold Huth,Melodramas | romantic dramas | adventures | Stewart Granger | Jean Kent | Anne Crawford | Dennis Price | Robert Helpmann,"“Hollywood hooey from Gainsborough” “Mad, bad and wonderful” “Amiable tosh” “What a hoot!” (IMDB reviews quotes). A dashing young Englishman with amnesia (Granger) thinks he is a Spanish gypsy. A real Spanish gypsy (Kent) supports his…",https://archive.org/details/Caravan_201903,https://archive.org/services/img/Caravan_201903
Forced Landing 1941,,,Richard Arlen | Eva Gabor | J. Carrol Naish | flying | adventure | Pacific | gold | bandit,"This is a fun adventure movie. Airplanes, bandits, pretty girl, comical sidekick... The copyright owner failed to renew, and it's been pretty widely copied and republished. This copy is a re-edit of one that I found on this site. I removed…",https://archive.org/details/ForcedLanding1941_201312,https://archive.org/services/img/ForcedLanding1941_201312
The Adventures of Sherlock Holmes - The Man With The Twisted Lip,1921,Maurce Elvey,Feature Films | Silent films | Sherlock Holmes | Maurice Elvey | Eille Norwood,Episode of the Adventures of Sherlock Holmes series starring Eille Norwood. Special contents of this edition copyright 2010 Shane I Sullivan. Permission to use these items is granted under creative commons licence.,https://archive.org/details/TheAdventuresOfSherlockHolmes-TheManWithTheTwistedLip,https://archive.org/services/img/TheAdventuresOfSherlockHolmes-TheManWithTheTwistedLip
Radio Ranch,1940,Nat Levine,Western | Adventure | Sci-Fi | Gene Autry,AKA Men with Steel Faces. Re-edited feature version of serial The Phantom Empire (1935) Singer Gene Autry discovers a race of advanced humans living beneath the earth.,https://archive.org/details/RadioRanch,https://archive.org/services/img/RadioRanch
A Very Fine Lady,,,France | sex appeal | silents,A delightful little 1908 silent comedy from Louis Feuillade of France who directed over 630 films.,https://archive.org/details/AVeryFineLady,https://archive.org/services/img/AVeryFineLady
"The Man With The Golden Arm (1955) Frank Sinatra, Kim Novak - Film Noir Full Movies",1955,,Otto Preminger | Frank Sinatra | Kim Novak | 1950s | Film Noir Full Movies | Film Noir | Drama | Crime,"The Man with the Golden Arm is a 1955 American drama film with elements of film noir, based on the novel of the same name by Nelson Algren. The film stars Frank Sinatra, Eleanor Parker, Kim Novak, Arnold Stang and Darren McGavin. It was…",https://archive.org/details/themanwiththegoldenarm1955_202001,https://archive.org/services/img/themanwiththegoldenarm1955_202001
A Man's Land,1932,M.H. Hoffman Inc.,Western,Title: A Man's Land Summary: Tex Mason and Peggy Turner each inherit one half of the Triple X Ranch. Thomas wants the ranch and he has Triple X hand Joe let his men rustle their cattle. Tex not only has to fight the ... Directed by: Phil…,https://archive.org/details/AMansLand1932,https://archive.org/services/img/AMansLand1932
Fog Island,1945,Producers Releasing Corporation (PRC),Drama | Horror | Mystery | Romance | Thriller,"Title: Fog Island Summary: An inventor recently released from prison invites a group of former business associates to a holiday in his island home, intending to exact revenge on them. Directed by: Terry O. Morse Actors: Production Company:…",https://archive.org/details/FogIsland720p1945,https://archive.org/services/img/FogIsland720p1945
Godzilla 1954 Official Toho Colorization,2020,Toho,Godzilla,"Colorized footage from Godzilla 1954 shown only once, at Godzilla Fest Online 2020. Also available here: https://twitter.com/14_kaiju/status/1718805684404486609",https://archive.org/details/godzilla-1954-colorization-2020,https://archive.org/services/img/godzilla-1954-colorization-2020
Religious Racketeers,1938,,Fanchon Royer Pictures | occult | seance,A mystic pretends that he can talk with the dead.,https://archive.org/details/Religious_Racketeers_1938,https://archive.org/services/img/Religious_Racketeers_1938
Moonbird,,John Hubley,Cartoon | Children | Adventure | Faith and John Hubley | Academy Award Winners,Two boys leave their home at night to veture around and encounter the Moonbird. This film won the 1959 Academy Award for Best Short Subject (Animation),https://archive.org/details/Moonbird_797,https://archive.org/services/img/Moonbird_797
Blackmail,1929,,Anny Ondra | Anna Ondráková | Sara Allgood | Charles Paton | John Longden | Donald Calthrop | Cyril Ritchard | Hannah Jones,https://web.archive.org/web/20230216060553/https://en.wikipedia.org/wiki/Blackmail_%281929_film%29,https://archive.org/details/blackmail_1929,https://archive.org/services/img/blackmail_1929
Rage At Dawn,,,Western,"Randolph Scott, a special agent from Chicago is sent out west to bring in the notorious Reno brothers",https://archive.org/details/RageAtDawn_618,https://archive.org/services/img/RageAtDawn_618
"""A Woman Scorned"" (1911) director D. W. Griffith cinematographer Billy Bitzer",1911,,Billy Bitzer | silent film | silent movie stars | classic film | old movies | silent film streaming | silent era | archive films,This gem is presented by Silent Hall of Fame. Please visit https://silent-hall-of-fame.org/ to support our non-profit mission and the legacy of silent movie stars by making a tax deductible contribution. FEEL FREE TO FOLLOW US ON TWITTER…,https://archive.org/details/AWomanScornedForYT,https://archive.org/services/img/AWomanScornedForYT
Kismet (1943),,Gyan Mukherjee,kismet | india | bollywood | ashok kumar | bombay talkies | anil biswas | kavi pradeep | movie,"Indian cinema's first real blockbuster film. Released in 1943, the movie is therefore now out of copyright according to Indian and other international copyright laws. Kismet produced by Bombay Talkies and directed by Gyan Mukherjee has…",https://archive.org/details/Kismet1943,https://archive.org/services/img/Kismet1943
Mitchell ( 1975),1975,Andrew V. McLaglen,Joe Don Baker | Martin Balsam | John Saxon | Linda Evans | Merlin Olsen | Morgan Paull | Harold J. Stone | b-movie,"PLOT: A tough, slobby, honest cop tries to simultaneously take down heroin dealers and a corrupt businessman who murdered a burglar, even if it costs him his life.",https://archive.org/details/mitchell-1975_202208,https://archive.org/services/img/mitchell-1975_202208
Lady In Danger,,Michael Balcon,Comedies | Tom Walls | Yvonne Arnaud | Leon Lion | Anne Grey | Hugh Wakefield | Cecil Parker,“Witty nonsense” “Walls and Arnaud make a good team” “Light and passable entertainment” (IMDB reviews quotes). Tom Walls teams up with Yvonne Arnaud for 65 minutes of witty and sophisticated male-female banter. If you’re not into wordplay…,https://archive.org/details/LadyInDanger,https://archive.org/services/img/LadyInDanger
Early Spring,1956,Yasujiro Ozu,Yasujiro Ozu | postwar Japan | drama | English-subtitles,"In his first film after the commercial and critical success of Tokyo Story, Ozu examines life in postwar Japan through the eyes of a young salaryman, dissatisfied with career and marriage, who begins an affair with a flirtatious co-worker.",https://archive.org/details/early-spring,https://archive.org/services/img/early-spring
The Night That Panicked America,1975,Paramount Television,Drama,"Title: The Night That Panicked America Summary: On October 30, 1938, Orson Welles 's radio play ""The War of the Worlds"" accidentally provokes mass panic. Directed by: Joseph Sargent Actors: Vic Morrow, Cliff De Young, Michael Constantine…",https://archive.org/details/night-that-panicked-america-1975,https://archive.org/services/img/night-that-panicked-america-1975
The Seventh Seal 1957,,ays,The Seventh Seal 1957,The Seventh Seal 1957,https://archive.org/details/the-seventh-seal-1957_202108,https://archive.org/services/img/the-seventh-seal-1957_202108
"THE CHAMPION ( 1915) Charlie Chaplin, Edna Purviance",,"William Thomas Sherman, wts@gunjones.com, http://www.mn-hp.com",Charlie Chaplin | Edna Purviance | Essanay | silent film,"THE CHAMPION (1915) Starring: Charlie Chaplin, Edna Purviance, Bud Jamison, Leo White, Lloyd Bacon, Billy Armstrong, Paddy McGuire, Broncho Billy Anderson, Ben Turpin Directed by Chaplin Essanay Film Company William Thomas Sherman,…",https://archive.org/details/THECHAMPION1915CharlieChaplinEdnaPurviance,https://archive.org/services/img/THECHAMPION1915CharlieChaplinEdnaPurviance
Les Roses Magique,1906,Pathé Frères,Public Domain | Gen X | Silent Movie | Short Film | Segundo de Chomón | Fantasy | Stop Motion Animation | Hand-Colour,Les Roses Magique (The Magic Roses) 1906 by Segundo de Chomón Pathé Frères Film Catalogue no. 1560,https://archive.org/details/LesRosesMagique,https://archive.org/services/img/LesRosesMagique
1944 - Laura - Otto Preminger - VOSE,1944,,1944 | Film noir - edad de oro | Otto Preminger,For Academic / Educational Use Only,https://archive.org/details/1944-laura-otto-preminger-vose,https://archive.org/services/img/1944-laura-otto-preminger-vose
Rin Tin Tin THE LONE DEFENDER,1930,Richard Thorpe,Rin Tin Tin | dog | german shepard | war hero | action | serial | mascot,1930 Serial featuring Rin Tin Tin. Variable video quality from a video master. Directed by Richard Thorpe. Episode Titles: 1. The Mystery of the Desert 2. The Fugitive 3. Jaws of Peril 4. Trapped 5. Circle of Death 6. Surrounded by Law 7.…,https://archive.org/details/RTTLD01,https://archive.org/services/img/RTTLD01
"Sing, Sinner, Sing",1933,Phil Goldstone,Drama | Romance,"Glamorous torch singer Lela Larson (Leila Hyams) runs away to marry the moneyed Ted Rendon (Don Dillaway), but when he's murdered, she becomes the prime suspect destined for the electric chair. Her possible motive? She wanted to escape the…",https://archive.org/details/SingSinnerSing,https://archive.org/services/img/SingSinnerSing
The Goat WMV with piano,,,comedy | buster keaton,"Dumb luck sets some policemen on his trail -- after a series of innovative escapes, he gets mistaken for a murderer with a price on his head, which means the people that aren't chasing him are fleeing from him.",https://archive.org/details/TheGoatWMVwithpiano,https://archive.org/services/img/TheGoatWMVwithpiano
Skull and Crown,1935,Bernard B. Ray,Adventure | Romance | Rin Tin Tin Jr.,"Bob Franklin (Regis Toomey), Border Patrolman on the Mexican border, is preparing for the homecoming of his sister Barbara (Lois January) from a fashionable school. His dog Rinty is even gathering flowers in anticipation of her arrival.…",https://archive.org/details/SkullanCrown,https://archive.org/services/img/SkullanCrown
Buck Rogers 1939 colorized serial feature (Buster Crabbe),1939,Universal Pictures,cliffhanger serial | colorized | science fiction,20th Century pilot Buck Rogers (Buster Crabbe) and his young friend Buddy Wade (Jackie Moran) awake from 500 years in suspended animation to find that the world has been taken over by the outlaw army of Killer Kane. They join the rebel…,https://archive.org/details/buck-rogers-1939-serial-colorized,https://archive.org/services/img/buck-rogers-1939-serial-colorized
Way Down South,1939,Sol Lesser Productions,Action | Music,"Title: Way Down South Summary: In the pre-Civil War South, a plantation owner dies and leaves all his possessions, including his slaves, to his young son. While the deceased treated his slaves decently, his corrupt ... Directed by: Leslie…",https://archive.org/details/wds44178891,https://archive.org/services/img/wds44178891
The Cop In Blue Jeans,,,The Cop In Blue Jeans,An undercover police officer follows the trail of a series of purse snatchers to track down a crime lord accused of stealing five million dollars.,https://archive.org/details/the-cop-in-blue-jeans,https://archive.org/services/img/the-cop-in-blue-jeans
Adventure Movies English Subtitles,,,Beneath the 12-Mile Reef | subtitles,Beneath the 12 Mile Reef subtitles English.,https://archive.org/details/beneath-the-12-mile-reef-1953-101-min.-720-p.bluray.h-264.aac,https://archive.org/services/img/beneath-the-12-mile-reef-1953-101-min.-720-p.bluray.h-264.aac
Miss Robin Hood,,Donald B Wilson,comedies | screwball comedies | comic book character | crime caper | school girls | Margaret Rutherford | Richard Hearne | James Robertson Justice,"“Zaney, innocent fun” “Decidedly odd” “A must see movie” (IMDB reviews quotes). A dotty old fan of a children’s comic book ropes its straight-laced author into taking part in a madcap crime caper. Margaret Rutherford and Richard Hearne…",https://archive.org/details/missrobinhood,https://archive.org/services/img/missrobinhood
One Too Many,1916,,silent | slapstick | plump and runt | billy ruge | oliver hardy,"Long before teaming with Stan Laurel, Oliver Hardy starred with Billy Ruge in a series of comedies as ""Plump and Runt."" It was relatively short-lived, as they did 35 films together in 1915 and 1916, mainly one reels. It was the pinnacle of…",https://archive.org/details/OneTooMany,https://archive.org/services/img/OneTooMany
Galveston Hurricane and Tidal Wave of 1900,,Paul Schumann,Galveston | 1900 | storm | hurricane | damage | Edison,"At the first news of the disaster by cyclone and tidal wave that devastated Galveston on Saturday, Sept. 8th, 1900, we (Thomas Edison Films) equipped a party of photographers and sent them by special train to the scene of the ruins.…",https://archive.org/details/GalvestonHurricaneAndTidalWaveOf1900,https://archive.org/services/img/GalvestonHurricaneAndTidalWaveOf1900
Salems Lot 1979,1979,,salem's lot | horror | undead | vampire | salems lot | classic horror | 70s horror,A novelist and a young horror fan attempt to save a small New England town which has been invaded by vampires.,https://archive.org/details/salems-lot-1979_202411,https://archive.org/services/img/salems-lot-1979_202411
The TV Show that Brainwashed Children,2022,Nick Crowley,Tomorrow's Pioneers | Youtube | xenophobia | brainwashing | documentary | Palestine | antisemitism | Israel,"Original: https://youtu.be/9qklT3hYcr4?si=GRLRMu99b0EIaEjT The description says: Start speaking a new language in 3 weeks with Babbel 🎉. Get up to 65% OFF your subscription ➡️ HERE: https://go.babbel.com/1200m65-youtube... In 2007, a show…",https://archive.org/details/the-tv-show-that-brainwashed-children,https://archive.org/services/img/the-tv-show-that-brainwashed-children
This Life of Mine (我這一輩子),1950,,China | Drama | Beijing,"Also known as: The Life of a Peking Policeman Based on the novel by Lao She, directed by Shi Hui. Subtitles: VobSub (Chinese Simplified & Traditional, English)",https://archive.org/details/this_life_of_mine,https://archive.org/services/img/this_life_of_mine
Chase Step by Step (1974),,Hai Hua Cinema Company - Lee Ming Film Company,action | adventure | martial arts | Barry Chan | Shu Lin Chang | Chung-Lien Chu | circus performers | gold bullion,Two circus performers are tasked with escorting relief in the form of gold bullion to a region hit by drought. On the way they are beset by countless bandits. Movies IMBd page - http://www.imdb.com/title/tt0833949/ Director - Yu Min Sheong…,https://archive.org/details/ChaseStepByStep1974,https://archive.org/services/img/ChaseStepByStep1974
TARGET FOR TONIGHT video and audio upgrade,,None credited,Documentaries | docudramas | propaganda | home front morale | WW2 | RAF | RAF Bomber Command,This version has better contrast and cleaner audio than previous IA prints. “Excellent propaganda film” “One of the better wartime documentaries” “A great document of World War II” (IMDB reviews quotes). A highly regarded British home…,https://archive.org/details/TARGETFORTONIGHTVideoAndAudioUpgrade,https://archive.org/services/img/TARGETFORTONIGHTVideoAndAudioUpgrade
The Blue Lamp with Dirk Bogarde (1950),,,british | english | england | uk | united kingdom | black and white | film | crime,"The Blue Lamp with Dirk Bogarde (1950). british, english, england, uk, united kingdom, black and white, film, crime, murder, noir, dirk bogarde, police, policemen, british police, 1950",https://archive.org/details/TheBlueLamp1950,https://archive.org/services/img/TheBlueLamp1950
Skyway,1933,,Ray Walker | Kathryn Crawford | Lucien Littlefield,A poverty-row film from Monogram.,https://archive.org/details/Skyway_1933,https://archive.org/services/img/Skyway_1933
"1943 - Junker der Waffen-SS - Gestaltet nach Aufnahmen von SS Kriegs-Berichterstattern (14m 26s, 352x288)",,,Waffen-SS | SS,"1943 - Junker der Waffen-SS - Gestaltet nach Aufnahmen von SS Kriegs-Berichterstattern (14m 26s, 352x288)",https://archive.org/details/1943-Junker-der-Waffen-SS,https://archive.org/services/img/1943-Junker-der-Waffen-SS
Cross Streets,1934,,Johnny Mack Brown | Claire Windsor | Anita Louise | Kenneth Thomson | Niles Welch | Matty Kemp | Josef Swickard,"Johnny Mack Brown and Claire Windsor star in an old-fashioned but enjoyable tear-jerker. [The CINEPACK file is the source file, and it's the smallest video file.]",https://archive.org/details/Cross_Streets_1934,https://archive.org/services/img/Cross_Streets_1934
Shake Hands with Murder,,American Productions Inc,Iris Adrian | Frank Jenks | Douglas Fowley | Claire Rochelle,A tough-as-nails bail bondswoman helps an embezzler prove his innocence.,https://archive.org/details/ShakeHandsWithMurder,https://archive.org/services/img/ShakeHandsWithMurder
Pardon My Pups,1934,Charles Lamont,Shirley Temple | Frank Coghlan Jr | Dog | short | comedy | slapstick,"1934 Junior Coghlan and Shirley Temple Educational Pictures ""Frolics of Youth"" short",https://archive.org/details/PardonMyPups,https://archive.org/services/img/PardonMyPups
Turksib,1929,Victor A. Turin,,,https://archive.org/details/turksib_1929,https://archive.org/services/img/turksib_1929
The Phantom Express,1932,"Irving C. Franklin, Emory Johnson and Donald M. Stoner",Mystery | Thriller | Trains | Railroad,"A railroad is plagued by a mystery train, which on dark nights seems to be headed on a collision course with train number 101, stopping or derailing the 101, then disappearing afterward. The company president's son volunteers to…",https://archive.org/details/The.Phantom.Express,https://archive.org/services/img/The.Phantom.Express
SPOOK SHOW EPISODE 13 Unlucky For Some,,Vance Capley,hypnotic eye | theatre for the insane | vance capley | spook show | bela lugosi | karloff | doctor who | bewitched,"With a little luck, you'll be watching Spook Show episode 13 in just a minute. Inspired by Joe Riley and his Hypnotic Eye and Rockula and his Theatre For the Insane, Spook Show returns with our 13th episode. Good luck, bad luck, and lots…",https://archive.org/details/SpookShowEpisode13UnluckyForSome,https://archive.org/services/img/SpookShowEpisode13UnluckyForSome
Beneath the 12-Mile Reef (1953),,,Robert Wagner | Terry Moore | Gilbert Roland | J. Carrol Naish | Richard Boone | Angela Clarke | Peter Graves | Jay Novello,Mike and Tony Petrakis (Robert Wagner) are a Greek father and son team who dive for sponges off the coast of Florida. When they are robbed Mike decides to take his crew to the dangerous 12 mile reef. When Mike has fatal accident Tony…,https://archive.org/details/BeneathThe12-mileReef1953,https://archive.org/services/img/BeneathThe12-mileReef1953
A Flawed Family Flick - The Gorilla (2006) - Windows Media Version,,Ivan Bridgewater,Bridgewater Video | Flawed Family Flick | BTV Comedy | Warped Vision Video,"This is another in our series of Flawed Family Flicks. Join cousins Harrigan, Garrity & Mulligan as they try to keep the Gorilla from claiming another victim. This movies was cut from over an hour down to 29 minutes. You can find the DVD…",https://archive.org/details/IvanBridgewaterAFlawedFamilyFlickTheGorilla2006,https://archive.org/services/img/IvanBridgewaterAFlawedFamilyFlickTheGorilla2006
The Violent Years,,,The Violent Years,This film has fallen into the Public Domain.,https://archive.org/details/TheViolentYears_201510,https://archive.org/services/img/TheViolentYears_201510
Eine lustige Geschichte am Fenster AKA A Funny Story at the Window,1908,Johann Schwarzer,,,https://archive.org/details/silent-eine-lustige-geschichte-am-fenster-aka-a-funny-story-at-the-window,https://archive.org/services/img/silent-eine-lustige-geschichte-am-fenster-aka-a-funny-story-at-the-window
"I, the Jury",1953,Parklane Pictures Inc.,Crime | Drama | Film-Noir | Thriller,"Title: I, the Jury Summary: Dectective Mike Hammer is determined to catch and kill the person who shot his close friend dead, so he follows clues that lead to a beautiful, seductive woman. Directed by: Harry Essex Actors: Biff Elliot,…",https://archive.org/details/TheJury_444,https://archive.org/services/img/TheJury_444
Jungle Bride (1933),,,Anita Page | Charles Starrett | Kenneth Thomson | Eddie Borden | Mystic Nights Videos,"A woman, her finace and a suspected murderer are shipwrecked together. Mystic Nights Videos",https://archive.org/details/JungleBride1933,https://archive.org/services/img/JungleBride1933
Shock - Weirdness Bad Movie,,reallybadmovie@rocketmail.com,weirdness | comedy | mystery | psychiatrist | crazy | gorilla | sketch | classic TV,"Public Access TV show ""Weirdness Really Bad Movie"" hosts public domain movies and ads clean comedy sketches enjoyable for the whole family. Today's film is the 1946 Vincent Price movie ""Shock""",https://archive.org/details/Shock-WeirdnessBadMovie,https://archive.org/services/img/Shock-WeirdnessBadMovie
Atlantic Adventure,,None credited,Comedies | mysteries | Lloyd Nolan | Nancy Carroll | Harry Langdon | Dwight Frye | E E Clive | Thurston Hall (uncredited),"“Sailing the ocean silly” “Good cast” “Fresh and fast paced” (IMDB reviews quotes). A whimsical detective adventure with Lloyd Nolan, ex-silents comedian Harry Langdon and a large assortment bad guys and gals. Good production values for…",https://archive.org/details/AtlanticAdventure,https://archive.org/services/img/AtlanticAdventure
The Trap,1922,Robert Thornby,Feature Films | Silent films | Lon Chaney | Robert Thornby | Alan Hale,After his mine is stolen a miner becomes obseessed with plotting revenge against the man who stole his mine.,https://archive.org/details/TheTrap_861,https://archive.org/services/img/TheTrap_861
Stella Maris,1918,Marshall A. Neilan,Silent | Drama,Silent (no soundtrack) You can find more information regarding this film on its IMDb page,https://archive.org/details/StellaMaris_665,https://archive.org/services/img/StellaMaris_665
Breaking the Ice,1938,Sol Lesser,Musical | Bobby Breen,A young Amish boy runs away from home after he is accused of stealing money from his uncle.,https://archive.org/details/breaking-the-ice,https://archive.org/services/img/breaking-the-ice
JESUS Film Tamil Language,,,Jesus Film,Jesus Film,https://archive.org/details/jesus-film-tamil-language,https://archive.org/services/img/jesus-film-tamil-language
"Gangs, Inc. (1941)",,,crime | gangs | mob,"When she was a little girl, she saw her father gunned down right in front of her. When she got older, she was tricked into taking the rap for a hit-and-run committed by her boyfriend. The experience left her bitter and so she puts her…",https://archive.org/details/GangsInc.1941,https://archive.org/services/img/GangsInc.1941
"The Scarf (1951) John Ireland, Mercedes McCambridge - Film Noir Full Movie",1951,,Ewald André Dupont | John Ireland | Mercedes McCambridge | 1950s | Film Noir Full Movies | Film Noir | Drama | Crime,"The Scarf is a 1951 American film noir directed by Ewald André Dupont and starring John Ireland, Mercedes McCambridge, James Barton, and Emlyn Williams. Wikipedia: https://en.wikipedia.org/wiki/The_Scarf_(film) Suggested Film Noirs:…",https://archive.org/details/thescarf1953,https://archive.org/services/img/thescarf1953
mishima-a-life-in-four-chapters_1985,,ays,Mishima: A Life in Four Chapters (1985) by Paul Schrader,Mishima: A Life in Four Chapters (1985),https://archive.org/details/mishima-a-life-in-four-chapters_1985,https://archive.org/services/img/mishima-a-life-in-four-chapters_1985
Inspector Hornleigh,,Robert Kane,comedies | mysteries | Gordon Harker | Alastair Sim | Miki Hood | Hugh Williams | Steven Geray | Gibb McLaughlin,“Very good verbose murder mystery” “Comic duo of Harker and Sim work well together” (IMDB reviews quotes). First of the three seriocomic Hornleigh mysteries with Gordon Harker in the title role and costarring Alastair Sim as the bumbling…,https://archive.org/details/InspectorHornleigh,https://archive.org/services/img/InspectorHornleigh
Lady Luck,,Chesterfield Motion Pictures Corporation,Patricia Farr | William Bakewell | Lulu McConnell | Duncan Renaldo,"A young girl who believes that she has won a huge sweepstakes teams up with the crusty old gal who really won, and they both go after the thing that they want the most.",https://archive.org/details/LadyLuck,https://archive.org/services/img/LadyLuck
1975 Mambo,1975,Lutz Mommartz and the Filmklasse Münster,Lutz Mommartz | German experimental Cinema | Die Filmklasse Münster | Wolfgang Braden | Bernd Rickfelder | Harald Balke | Herbert Baumann | Rainer Klaholz,"First Community film after establishing the film class at the Art Academy Münster / Germany. with Wolfgang Braden, Bernd Rickfelder, Harald Balke, Herbert Baumann, Rainer Klaholz, Lutz Mommartz, Dieter Fietzke and Imke Frehmer, all white…",https://archive.org/details/1975Mambo1646FilmklasseSelbstndig,https://archive.org/services/img/1975Mambo1646FilmklasseSelbstndig
A Flawed Family Flick - The Boat,2006,Ivan Bridgewater,Bridgewater Video | Buster Keaton | Comedy | Flawed Family Flick | Warped Vision Video | BTV Comedy,"This is the second ""Flawed Family Video"" we have added to the collection. We hope that it will give a new life to a great old movie. Buster has a new boat, and boating will never be the same again.....Special Editors Note: we have created…",https://archive.org/details/IMB_The_Boat,https://archive.org/services/img/IMB_The_Boat
"Fallen Angel 1945 colorized (Dana Andrews, Alice Faye, Linda Darnell)",1945,Twentieth Century Fox,feature film | crime drama | film noir | colorized,"A wealthy woman in a small town (Alice Faye) falls in love with a slick con man (Dana Andrews) and marries him, even though his plan is to take her money and run off with a pretty waitress (Linda Darnell). When the waitress is mysteriously…",https://archive.org/details/fallen-angel-1945-colorized,https://archive.org/services/img/fallen-angel-1945-colorized
